Name,Height (cm),Weight (kg),Position,Nationality,Games Played,Total Points,Total Rebounds,Total Assists,Total Blocks,3PT%,FG%,Salary (Millions),Team
LeBron James,206,113,Forward,USA,55,1485,407,396,33,36.3,50.4,47.6,Lakers
Kevin Durant,208,109,Forward,USA,57,1533,405,319,63,38.7,51.8,47.6,Nets
Stephen Curry,190,84,Guard,USA,59,1723,313,360,12,42.5,47.1,51.9,Warriors
Giannis Antetokounmpo,211,110,Forward,Greece,60,1770,822,348,84,30.1,55.3,45.6,Bucks
James Harden,196,100,Guard,USA,58,1467,394,632,29,35.9,44.2,35.6,76ers
Luka Dončić,201,104,Guard,Slovenia,56,1590,510,487,22,33.5,46.7,40.1,Mavericks
Nikola Jokić,213,129,Center,Serbia,61,1610,658,506,43,31.4,56.6,47.6,Nuggets
Joel Embiid,213,127,Center,Cameroon,54,1652,632,184,103,37.2,48.9,46.9,76ers
Kawhi Leonard,201,102,Forward,USA,52,1399,359,260,31,38.6,49.5,45.6,Clippers
Anthony Davis,208,115,Center,USA,50,1225,520,160,120,29.3,53.8,40.6,Lakers
Damian Lillard,188,88,Guard,USA,57,1602,257,428,17,37.5,44.9,45.6,Trail Blazers
Kyrie Irving,188,88,Guard,USA,53,1452,249,339,27,39.2,47.6,37.0,Nets
Russell Westbrook,190,91,Guard,USA,60,1374,474,504,24,29.8,43.7,47.6,Lakers
Jimmy Butler,201,104,Forward,USA,56,1204,387,398,39,34.7,45.4,45.2,Heat
Paul George,203,100,Forward,USA,54,1258,356,281,27,38.3,43.9,45.6,Clippers
Chris Paul,185,79,Guard,USA,55,1029,248,506,17,36.9,48.9,43.2,Suns
Jayson Tatum,203,95,Forward,USA,58,1485,406,249,52,40.3,45.0,32.6,Celtics
Devin Booker,196,93,Guard,USA,60,1602,252,390,18,38.0,46.7,36.0,Suns
Zion Williamson,198,129,Forward,USA,48,1296,346,178,24,33.2,60.4,34.0,Pelicans
Trae Young,185,82,Guard,USA,59,1729,230,555,6,34.9,43.8,40.1,Hawks
Karl-Anthony Towns,213,112,Center,USA,50,1386,511,254,41,39.5,50.8,36.0,Timberwolves
Bradley Beal,191,94,Guard,USA,47,1302,212,307,22,35.1,45.5,46.7,Wizards
Donovan Mitchell,185,98,Guard,USA,53,1416,190,391,15,36.4,43.7,33.2,Cavaliers
Bam Adebayo,206,116,Center,USA,64,1424,688,312,66,0.0,55.7,32.6,Heat
Rudy Gobert,216,117,Center,France,62,1023,957,146,213,0.0,68.4,41.0,Jazz
